node	type	sequence	time_red	time_yellow	time_green	num_moves	link_from	link_to
13119	1	2		1	3	26	2	{18411,18411}	{18410,106354}
5572	1	1		1	3	88	4	{4879,4879,104876,104876}	{4876,18602,18602,104879}
5572	1	2		1	3	24	2	{118602,118602}	{4876,104879}
5726	1	1		1	3	37	0	{105147,105147}	{105162,5194}
5726	1	2		1	3	35	0	{18185,18185}	{105162,5194}
13015	1	1		1	3	36	0	{18180,18180}	{18175,18177}
13015	1	2		1	3	36	0	{18176,18176}	{18175,18177}
12734	1	1		1	3	50	0	{18456,18456}	{18184,105137}
12734	1	2		1	3	22	0	{117729,117729}	{18184,105137}
13018	1	1		1	3	45	0	{18468,18468}	{18185,18187}
13018	1	2		1	3	27	0	{5149,5149}	{18185,18187}
5586	1	1		1	3	38	0	{4914,4914,4914,104896,104896,104896}	{4896,18323,118480,104914,18323,118480}
5586	1	2		1	3	19	0	{18480,18480,18480,118323,118323,118323}	{4896,104914,18323,4896,104914,118480}
5782	1	1		1	3	25	0	{5304}	{5301}
5782	1	2		1	3	32	0	{5290,5290}	{5301,105304}
5773	1	1		1	3	22	0	{5282,5282,5282,105296,105296,105296}	{105285,5296,5298,105282,105285,5298}
5773	1	2		1	3	35	0	{5285,5285,5285,105298,105298,105298}	{105282,5296,5298,105282,105285,5296}
5716	1	1		1	3	38	0	{18387,18387,18387}	{5139,105267,5272}
5716	1	2		1	3	19	0	{5267,5267,105272,105272}	{5139,5272,5139,105267}
12261	1	1		1	3	38	0	{5139,5139,5139}	{16765,18604,118603}
12261	1	2		1	3	19	0	{18603,18603,118604,118604}	{16765,18604,16765,118603}
11642	1	1		1	3	35	0	{16996,16996}	{16146,18173}
11642	1	2		1	3	22	0	{18452,18452}	{16146,18173}
5717	1	1		1	3	38	0	{16146,16146}	{5202,5203}
5717	1	2		1	3	19	0	{5214,5214}	{5202,5203}
5752	1	1		1	3	38	0	{5202,5202}	{5212,105208}
5752	1	2		1	3	19	0	{105205,105205}	{5212,105208}
5741	1	1		1	3	38	0	{18446,18446}	{5187,5193}
5741	1	2		1	3	19	0	{5194,5194}	{5187,5193}
5464	1	1		1	3	38	0	{14995,14995}	{4617,5189}
5464	1	2		1	3	19	0	{5146,5146}	{4617,5189}
13081	1	1		1	3	38	0	{16274,16274,16274}	{18317,118318,18320}
13081	1	2		1	3	19	0	{18318,18318,118320,118320}	{18317,18320,18317,118318}
5465	1	1		1	3	41	0	{18317,18317,18317}	{4867,4897,104910}
5465	1	2		1	3	16	0	{4910,4910,104867,104867}	{4867,4897,4897,104910}
13088	1	1		1	3	35	0	{4897,4897,4897}	{18329,118330,18331}
13088	1	2		1	3	22	0	{18330,18330,118331,118331}	{18329,18331,18329,118330}
6349	1	1		1	3	76	0	{6232,106214}	{6214,106232}
6349	1	2		1	3	45	0	{106230,106230}	{6214,106232}
5189	1	1		0	3	60	0	{18490,18490,104299,104299}	{4299,115886,118490,115886}
5189	1	2		1	3	31	0	{104299,104299}	{118490,115886}
5189	1	3		0	0	29	0	{105215,105215,105215}	{4299,118490,115886}
5753	1	1		1	3	22	0	{18197,18197,105218,105218}	{5218,115584,118197,115584}
5753	1	2		1	3	35	0	{18194,18194,18194}	{5218,118197,115584}
13021	1	1		1	3	23	0	{18462,18462}	{18194,18334}
13021	1	2		1	3	34	0	{17621,17621}	{18194,18334}
12671	1	1		1	3	23	0	{117619,117619}	{105223,17621}
12671	1	2		1	3	34	0	{17730,17730}	{105223,17621}
10782	1	1		1	3	27	0	{5187,5187}	{14995,17618}
10782	1	2		1	3	30	0	{14996,14996}	{14995,17618}
10611	1	1		1	3	23	0	{5183,5183,14987,14987}	{14715,114987,105183,14715}
10611	1	2		1	3	34	0	{17616,17616,17616}	{105183,14715,114987}
13110	1	1		1	3	32	0	{18380,18380,118382,118382}	{18379,18382,18379,118380}
13110	1	2		1	3	92	0	{17614,17614,17614}	{18379,118380,18382}
5455	1	1		1	3	22	0	{104609,104609}	{5225,117619}
5455	1	2		1	3	35	0	{18333,18333,18333}	{4609,5225,117619}
5755	1	1		1	3	24	0	{5218,5218,114508,114508}	{5219,14508,105218,5219}
5755	1	2		1	3	33	0	{18205,18205,18205}	{105218,5219,14508}
5151	1	1		1	3	30	0	{4299,4299,106218,106218}	{4258,6218,4258,104299}
5151	1	2		1	3	52	0	{18221,18221,18221}	{4258,104299,6218}
5778	1	1		0	3	66	0	{105312,105312,105312,118556,118556,118556}	{105286,18554,18556,105286,5312,18554}
5778	1	2		1	3	8	0	{105312,105312,105312}	{105286,18554,18556}
5778	1	3		0	3	10	0	{118554,118554,118554}	{105286,5312,18556}
5778	1	4		1	3	25	0	{5286,5286,5286,118554,118554,118554}	{5312,18554,18556,105286,5312,18556}
5779	1	1		1	3	33	0	{16602,16602,16602,105305,105305,105305}	{105298,5305,5307,105298,5307,116602}
5779	1	2		1	3	24	0	{5298,5298,5298,105307,105307,105307}	{5305,5307,116602,105298,5305,116602}
5732	1	1		1	3	24	0	{18394,18394,18394}	{5153,105307,18165}
5732	1	2		1	3	33	0	{5307,5307,105153,105153}	{5153,18165,105307,18165}
5215	1	1		1	3	79	0	{5311,5311,105145,105145}	{5145,5310,5310,105311}
5215	1	2		1	3	13	0	{5311,5311}	{5145,5310}
5215	1	3		1	3	29	0	{18215,18215,18215}	{5145,5310,105311}
