node	type	sequence	time_red	time_yellow	time_green	num_moves	link_from	link_to
5685	1	3		2	4	5	0	{105177,105177,105177}	{5084,105178,118375}
5685	1	4		2	4	22	0	{105177,105177,5178,5178,5178}	{5084,105178,5084,5177,118375}
5685	1	5		2	4	6	0	{105084,5178,5178,5178}	{105178,5084,5177,118375}
5750	1	1		2	4	29	0	{105191,105191,105191,114456,114456,114456}	{105190,14456,5192,105190,5191,5192}
5750	1	2		0	0	10	0	{5190,5190,5190,105192,105192,105192}	{5191,14456,5192,105190,5191,14456}
5750	1	3		2	4	39	0	{5190,5190,105192,105192}	{5191,5192,105190,14456}
5740	1	1		2	4	39	0	{18444,18444,18444}	{5165,5166,105210}
5740	1	2		1	4	13	0	{105166,105166}	{5165,105210}
5740	1	3		0	0	10	0	{5210,5210,105166}	{5165,5166,105210}
5740	1	4		2	4	11	0	{5210,5210,105166,105166}	{5165,5166,5165,105210}
5759	1	1		0	0	10	0	{105236,5239,5239}	{105239,5236,18193}
5759	1	2		2	4	27	0	{105236,105236,5239,5239}	{105239,18193,5236,18193}
5759	1	3		2	4	4	0	{105236,105236}	{105239,18193}
5759	1	4		2	4	31	0	{18192,18192,18192}	{5236,105239,18193}
5414	1	1		1	3	36	0	{14515,14515}	{14514,104883}
5414	1	2		1	3	46	0	{114984,114984}	{14514,104883}
5722	1	1		1	3	47	0	{105142,105142,105142}	{18181,118450,118604}
5722	1	2		1	3	25	0	{118181,118181,18604,18604}	{118450,118604,18181,118450}
5730	1	1		1	3	48	0	{105152,105152,105152}	{115489,18603,118454}
5730	1	2		1	3	25	0	{15489,15489,118603,118603}	{18603,118454,115489,118454}
13075	1	1		0	0	12	0	{4617,4617,4617}	{18305,118306,18307}
13075	1	2		0	0	6	0	{118307,118307,18306,18306}	{18305,118306,18305,18307}
10601	1	1		1	3	35	0	{18329,18329}	{14692,425133}
10601	1	2		1	3	22	0	{425132}	{14692}
13118	1	1		0	7	27	0	{425152,425152,118411,118411}	{18411,18409,18409,425151}
13118	1	2		0	7	13	0	{425153,425153,425153}	{18411,18409,425151}
13118	1	3		0	7	39	0	{425153,425153,425153}	{18411,18409,425151}
13118	1	4		0	7	23	0	{425152,425152}	{18411,18409}
5754	1	1		1	3	38	0	{5240}	{5217}
5754	1	2		1	3	44	0	{105217}	{105240}
13106	1	1		1	3	19	0	{5198,5198}	{18371,18567}
13106	1	2		1	3	21	0	{118374,118374}	{18371,18567}
5744	1	1		1	3	47	0	{14459,105170}	{5170,114459}
5744	1	2		1	3	25	0	{18371,18371}	{5170,114459}
13108	1	1		0	4	9	0	{118375,118375,118375,5180,5180,5180}	{118376,18378,105180,18375,118376,18378}
13108	1	2		2	4	35	0	{118375,5180}	{105180,18375}
13108	1	3		4	0	0	0	{}	{}
13108	1	4		2	4	26	0	{118378,118378,118378}	{18375,118376,105180}
13107	1	1		1	3	49	0	{118376,118376}	{118374,114512}
13107	1	2		1	3	33	0	{118373,118373}	{118374,114512}
12282	1	1		1	3	46	0	{18193,18193}	{18195,16877}
12282	1	2		1	3	36	0	{}	{}
