id	coordinates
106008	(-97.7513,30.2828),(-97.7521,30.2836)
6010	(-97.7506,30.28),(-97.7507,30.2786)
106010	(-97.7507,30.2786),(-97.7506,30.28)
6011	(-97.7467,30.279),(-97.7474,30.2792)
106011	(-97.7474,30.2792),(-97.7467,30.279)
6014	(-97.7475,30.2909),(-97.7477,30.2894)
106014	(-97.7477,30.2894),(-97.7475,30.2909)
6015	(-97.7478,30.2882),(-97.751,30.2884)
106015	(-97.751,30.2884),(-97.7478,30.2882)
6062	(-97.7485,30.2981),(-97.7505,30.2997)
106062	(-97.7505,30.2997),(-97.7485,30.2981)
6167	(-97.7428,30.2954),(-97.7426,30.2948)
106167	(-97.7426,30.2948),(-97.7428,30.2954)
6179	(-97.736,30.2932),(-97.7375,30.2943)
106179	(-97.7375,30.2943),(-97.736,30.2932)
6181	(-97.7439,30.2959),(-97.744,30.295)
106181	(-97.744,30.295),(-97.7439,30.2959)
6188	(-97.7298,30.2889),(-97.7312,30.2893)
106188	(-97.7312,30.2893),(-97.7298,30.2889)
6194	(-97.7381,30.2807),(-97.7385,30.2797)
106194	(-97.7385,30.2797),(-97.7381,30.2807)
6196	(-97.7378,30.2917),(-97.7412,30.292)
106196	(-97.7412,30.292),(-97.7378,30.2917)
6197	(-97.7447,30.2879),(-97.7448,30.2866)
106197	(-97.7448,30.2866),(-97.7447,30.2879)
6199	(-97.7416,30.2877),(-97.7417,30.2861)
106199	(-97.7417,30.2861),(-97.7416,30.2877)
6204	(-97.7381,30.2807),(-97.7394,30.281)
106204	(-97.7394,30.281),(-97.7381,30.2807)
6205	(-97.738,30.2896),(-97.7393,30.2897)
106205	(-97.7393,30.2897),(-97.738,30.2896)
6206	(-97.7335,30.2871),(-97.7337,30.2853)
106206	(-97.7337,30.2853),(-97.7335,30.2871)
6212	(-97.7419,30.2817),(-97.7423,30.2818)
106212	(-97.7423,30.2818),(-97.7419,30.2817)
6213	(-97.7419,30.2838),(-97.744,30.2839)
106213	(-97.744,30.2839),(-97.7419,30.2838)
6214	(-97.7405,30.2813),(-97.7419,30.2817)
106214	(-97.7419,30.2817),(-97.7405,30.2813)
6215	(-97.7423,30.2797),(-97.7426,30.2789)
6216	(-97.7448,30.2825),(-97.7452,30.2815)
106216	(-97.7452,30.2815),(-97.7448,30.2825)
6220	(-97.7456,30.2807),(-97.7459,30.2797)
106220	(-97.7459,30.2797),(-97.7456,30.2807)
6222	(-97.7452,30.2785),(-97.7462,30.2788)
106222	(-97.7462,30.2788),(-97.7452,30.2785)
6223	(-97.7462,30.2788),(-97.7466,30.2779)
106223	(-97.7466,30.2779),(-97.7462,30.2788)
106224	(-97.7452,30.2827),(-97.7451,30.284)
106228	(-97.7451,30.284),(-97.7449,30.2853)
6232	(-97.7394,30.281),(-97.7405,30.2813)
106232	(-97.7405,30.2813),(-97.7394,30.281)
6233	(-97.7419,30.2838),(-97.7419,30.2817)
106233	(-97.7419,30.2817),(-97.7419,30.2838)
6234	(-97.7418,30.285),(-97.7418,30.2845)
106234	(-97.7418,30.2845),(-97.7418,30.285)
6236	(-97.7412,30.292),(-97.7412,30.2913)
106236	(-97.7412,30.2913),(-97.7412,30.292)
6237	(-97.7444,30.2907),(-97.7445,30.29)
106237	(-97.7445,30.29),(-97.7444,30.2907)
6239	(-97.7416,30.2877),(-97.7431,30.2878)
106239	(-97.7431,30.2878),(-97.7416,30.2877)
6241	(-97.7437,30.2879),(-97.7443,30.2879)
106241	(-97.7443,30.2879),(-97.7437,30.2879)
6244	(-97.7414,30.2898),(-97.7414,30.2891)
106244	(-97.7414,30.2891),(-97.7414,30.2898)
6245	(-97.7412,30.292),(-97.7428,30.2921)
106245	(-97.7428,30.2921),(-97.7412,30.292)
6248	(-97.7345,30.2796),(-97.7357,30.28)
106248	(-97.7357,30.28),(-97.7345,30.2796)
6252	(-97.7357,30.28),(-97.7368,30.2803)
106252	(-97.7368,30.2803),(-97.7357,30.28)
6253	(-97.7357,30.28),(-97.7361,30.279)
6255	(-97.7322,30.279),(-97.7336,30.2794)
106255	(-97.7336,30.2794),(-97.7322,30.279)
6258	(-97.7378,30.2917),(-97.738,30.2896)
106258	(-97.738,30.2896),(-97.7378,30.2917)
6260	(-97.7347,30.291),(-97.7347,30.2893)
106260	(-97.7347,30.2893),(-97.7347,30.291)
6263	(-97.733,30.2937),(-97.7339,30.2922)
106263	(-97.7339,30.2922),(-97.733,30.2937)
6264	(-97.7347,30.2893),(-97.7368,30.2895)
106264	(-97.7368,30.2895),(-97.7347,30.2893)
6265	(-97.737,30.2895),(-97.738,30.2896)
106265	(-97.738,30.2896),(-97.737,30.2895)
6266	(-97.7368,30.2895),(-97.737,30.2895)
106266	(-97.737,30.2895),(-97.7368,30.2895)
6273	(-97.7384,30.2947),(-97.7421,30.2965)
106273	(-97.7421,30.2965),(-97.7384,30.2947)
6275	(-97.7447,30.3027),(-97.7455,30.3015)
106275	(-97.7455,30.3015),(-97.7447,30.3027)
6279	(-97.7428,30.2954),(-97.7439,30.2959)
106279	(-97.7439,30.2959),(-97.7428,30.2954)
6282	(-97.7396,30.3003),(-97.7404,30.2991)
106282	(-97.7404,30.2991),(-97.7396,30.3003)
6283	(-97.7439,30.2959),(-97.7452,30.2966)
106283	(-97.7452,30.2966),(-97.7439,30.2959)
