id	type	route	dtime
100000580	521	200022	2972
100000581	521	200022	4772
100000582	521	200022	6572
100000583	521	300021	1614
100000584	521	300021	3414
100000585	521	300021	5214
100000586	521	300021	7014
100000587	521	10000015	0
100000588	521	10000015	300
100000589	521	10000015	600
100000590	521	10000015	900
100000591	521	10000015	1200
100000592	521	10000015	1500
100000593	521	10000015	1800
100000594	521	10000015	2100
100000595	521	10000015	2400
100000596	521	10000015	2700
100000597	521	10000015	3000
100000598	521	10000015	3300
100000599	521	10000015	3600
100000600	521	10000015	3900
100000601	521	10000015	4200
100000602	521	10000015	4500
100000603	521	10000015	4800
100000604	521	10000015	5100
100000605	521	10000015	5400
100000606	521	10000015	5700
100000607	521	10000015	6000
100000608	521	10000015	6300
100000609	521	10000015	6600
100000610	521	10000015	6900
100000611	521	10000016	0
100000612	521	10000016	300
100000613	521	10000016	600
100000614	521	10000016	900
100000615	521	10000016	1200
100000616	521	10000016	1500
100000617	521	10000016	1800
100000618	521	10000016	2100
100000619	521	10000016	2400
100000620	521	10000016	2700
100000621	521	10000016	3000
100000622	521	10000016	3300
100000623	521	10000016	3600
100000624	521	10000016	3900
100000625	521	10000016	4200
100000626	521	10000016	4500
100000627	521	10000016	4800
100000628	521	10000016	5100
100000629	521	10000016	5400
100000630	521	10000016	5700
100000631	521	10000016	6000
100000632	521	10000016	6300
100000633	521	10000016	6600
100000634	521	10000016	6900
