    id coordinates
   264 (-104.1372, 55.3375), (-104.1375, 55.3395)
   265 (-104.1372, 55.3375), (-104.1351, 55.3375)
   266 (-104.1333, 55.3410), (-104.1343, 55.3424)
   267 (-104.1333, 55.3410), (-104.1329, 55.3398)
   268 (-104.1324, 55.3370), (-104.1324, 55.3377)
   269 (-104.1324, 55.3370), (-104.1318, 55.3361)
   270 (-104.1264, 55.3404), (-104.1299, 55.3400)
   271 (-104.1264, 55.3404), (-104.1265, 55.3428)
   272 (-104.1264, 55.3404), (-104.1253, 55.3402)
   273 (-104.3826, 55.2889), (-104.3879, 55.2795)
   274 (-104.3480, 55.2982), (-104.3478, 55.3005)
   275 (-104.3714, 55.2659), (-104.3842, 55.2623)
   276 (-104.3714, 55.2659), (-104.3556, 55.2734)
   277 (-104.3203, 55.2662), (-104.3167, 55.2668)
   278 (-104.3657, 55.2385), (-104.3665, 55.2410)
   279 (-104.3170, 55.2453), (-104.3126, 55.2462)
   280 (-104.2706, 55.2515), (-104.2746, 55.2513)
   281 (-104.2812, 55.2431), (-104.2729, 55.2431)
   282 (-104.3308, 55.2203), (-104.3090, 55.2283)
   283 (-104.2978, 55.2662), (-104.3015, 55.2637)
   284 (-104.2978, 55.2662), (-104.2851, 55.2737)
   285 (-104.2978, 55.2662), (-104.2779, 55.2677)
   286 (-104.2703, 55.2764), (-104.2710, 55.2734)
   287 (-104.2703, 55.2764), (-104.2642, 55.2785)
   288 (-104.2535, 55.2816), (-104.2568, 55.2808)
   289 (-104.2535, 55.2816), (-104.2448, 55.2803)
   290 (-104.2416, 55.2828), (-104.2431, 55.2839)
   291 (-104.2416, 55.2828), (-104.2392, 55.2825)
   292 (-104.2349, 55.2828), (-104.2351, 55.2836)
   293 (-104.2269, 55.2811), (-104.2305, 55.2810)
   294 (-104.2269, 55.2811), (-104.2234, 55.2776)
   295 (-104.2232, 55.2840), (-104.2204, 55.2842)
   296 (-104.2245, 55.2749), (-104.2235, 55.2751)
   297 (-104.2318, 55.2765), (-104.2319, 55.2773)
   298 (-104.2318, 55.2765), (-104.2291, 55.2766)
   299 (-104.2440, 55.2749), (-104.2471, 55.2751)
   300 (-104.2440, 55.2749), (-104.2412, 55.2751)
   301 (-104.2199, 55.2682), (-104.2202, 55.2670)
   302 (-104.2281, 55.2641), (-104.2277, 55.2614)
   303 (-104.2281, 55.2641), (-104.2286, 55.2668)
   304 (-104.2281, 55.2641), (-104.2225, 55.2648)
   305 (-104.2336, 55.2687), (-104.2362, 55.2677)
   306 (-104.2416, 55.2688), (-104.2418, 55.2654)
   307 (-104.2416, 55.2688), (-104.2381, 55.2706)
   308 (-104.2615, 55.2654), (-104.2661, 55.2659)
   309 (-104.2615, 55.2654), (-104.2553, 55.2671)
   310 (-104.2595, 55.2604), (-104.2612, 55.2585)
   311 (-104.2595, 55.2604), (-104.2574, 55.2626)
   312 (-104.2514, 55.2631), (-104.2517, 55.2660)
   313 (-104.2514, 55.2631), (-104.2505, 55.2631)
   314 (-104.2416, 55.2583), (-104.2447, 55.2564)
   315 (-104.2416, 55.2583), (-104.2421, 55.2593)
   316 (-104.2416, 55.2583), (-104.2398, 55.2570)
   317 (-104.2483, 55.2581), (-104.2484, 55.2589)
   318 (-104.2483, 55.2581), (-104.2447, 55.2564)
   319 (-104.2410, 55.2542), (-104.2439, 55.2535)
   320 (-104.2410, 55.2542), (-104.2398, 55.2570)
   321 (-104.2452, 55.2528), (-104.2467, 55.2534)
   322 (-104.2452, 55.2528), (-104.2439, 55.2535)
   323 (-104.2520, 55.2537), (-104.2505, 55.2572)
   324 (-104.2520, 55.2537), (-104.2467, 55.2534)
   325 (-104.2528, 55.2463), (-104.2518, 55.2461)
   326 (-104.0850, 55.1774), (-104.0778, 55.1771)
   327 (-104.0921, 55.2042), (-104.1080, 55.2073)
   328 (-104.0921, 55.2042), (-104.0899, 55.2043)
   329 (-104.0450, 55.2086), (-104.0600, 55.2067)
   330 (-104.0450, 55.2086), (-104.0473, 55.2202)
   331 (-104.0450, 55.2086), (-104.0165, 55.2092)
   332 (-104.0459, 55.1837), (-104.0588, 55.1857)
   333 (-104.0459, 55.1837), (-104.0419, 55.1838)
   334 (-104.0123, 55.2083), (-104.0165, 55.2092)
   335 (-104.0123, 55.2083), (-104.0075, 55.2107)
   336 (-103.9935, 55.2124), (-104.0030, 55.2101)
   337 (-103.9935, 55.2124), (-103.9933, 55.2152)
   338 (-103.9556, 55.2142), (-103.9588, 55.2150)
   339 (-103.9287, 55.2433), (-103.9371, 55.2408)
   340 (-103.9502, 55.2382), (-103.9507, 55.2398)
   341 (-103.9721, 55.2368), (-103.9725, 55.2383)
   342 (-104.0026, 55.2345), (-104.0050, 55.2345)
   343 (-104.0491, 55.2249), (-104.0524, 55.2285)
   344 (-104.0491, 55.2249), (-104.0473, 55.2202)
   345 (-104.0555, 55.2364), (-104.0661, 55.2356)
   346 (-104.0672, 55.2207), (-104.0705, 55.2200)
   347 (-104.0672, 55.2207), (-104.0672, 55.2218)
   348 (-104.0672, 55.2207), (-104.0665, 55.2189)
   349 (-104.0672, 55.2207), (-104.0631, 55.2207)
   350 (-104.0767, 55.2230), (-104.0765, 55.2214)
   351 (-104.0767, 55.2230), (-104.0736, 55.2256)
