    id   type Longitude Latitude Elevation
   562   1000 -104.1960 55.2851      0
   563   1000 -104.2022 55.2846      0
   564   1000 -104.2119 55.2843      0
   565   1000 -104.1830 55.3041      0
   566   1000 -104.1875 55.2996      0
   567   1000 -104.1839 55.3000      0
   568   1000 -104.1799 55.3004      0
   569   1000 -104.1755 55.3012      0
   570   1000 -104.1854 55.2969      0
   571   1000 -104.1827 55.2953      0
   572   1000 -104.1660 55.3002      0
   573   1000 -104.1691 55.3016      0
   574   1000 -104.1707 55.3028      0
   575   1000 -104.1753 55.3033      0
   576   1000 -104.1770 55.3053      0
   577   1000 -104.1707 55.3055      0
   578   1000 -104.1660 55.3065      0
   579   1000 -104.1631 55.3059      0
   580   1000 -104.1654 55.3030      0
   581   1000 -104.1623 55.3039      0
   582   1000 -104.1586 55.3044      0
   583   1000 -104.1552 55.3065      0
   584   1000 -104.1580 55.3076      0
   585   1000 -104.1577 55.3104      0
   586   1000 -104.1578 55.3140      0
   587   1000 -104.1612 55.3134      0
   588   1000 -104.1646 55.3134      0
   589   1000 -104.1681 55.3125      0
   590   1000 -104.1649 55.3094      0
   591   1000 -104.1728 55.3083      0
   592   1000 -104.1720 55.3116      0
   593   1000 -104.1773 55.3116      0
   594   1000 -104.1808 55.2915      0
   595   1000 -104.1899 55.2913      0
   596   1000 -104.1972 55.2906      0
   597   1000 -104.1920 55.2958      0
   598   1000 -104.2000 55.2957      0
   599   1000 -104.2054 55.2937      0
   600   1000 -104.2044 55.2896      0
   601   1000 -104.2109 55.2896      0
   602   1000 -104.2186 55.2913      0
   603   1000 -104.2115 55.2932      0
   604   1000 -104.2190 55.2943      0
   605   1000 -104.2131 55.2967      0
   606   1000 -104.2194 55.2989      0
   607   1000 -104.2137 55.3009      0
   608   1000 -104.2066 55.2991      0
   609   1000 -104.2011 55.2999      0
   610   1000 -104.1936 55.2978      0
   611   1000 -104.1948 55.3013      0
   612   1000 -104.1893 55.3027      0
   613   1000 -104.1917 55.3073      0
   614   1000 -104.1842 55.3093      0
   615   1000 -104.1943 55.3113      0
   616   1000 -104.1990 55.3113      0
   617   1000 -104.1981 55.3068      0
   618   1000 -104.2078 55.3094      0
   619   1000 -104.2080 55.3056      0
   620   1000 -104.2121 55.3035      0
   621   1000 -104.2201 55.3042      0
   622   1000 -104.2393 55.2887      0
   623   1000 -104.2368 55.2872      0
   624   1000 -104.2246 55.2896      0
   625   1000 -104.2307 55.2936      0
   626   1000 -104.2239 55.3004      0
   627   1000 -104.2502 55.2975      0
   628   1000 -104.2455 55.2916      0
   629   1000 -104.2529 55.2866      0
