id	type	origin	destination	ast	demand
1	111	100362	229913	5	0.86825
1	111	100356	229913	2	0.217062
1	111	100356	229913	3	0.217062
1	111	100358	229913	8	0.217062
1	111	100356	229913	1	0.217062
1	111	100356	229913	6	0.217062
1	111	100356	229913	7	0.217062
1	111	100356	229913	4	0.434125
1	111	100358	229913	2	0.217062
1	111	100359	229913	7	0.217062
1	111	100356	229913	8	0.217062
1	111	100358	229913	1	0.217062
1	111	100359	229913	5	0.217062
1	111	100358	229913	6	0.217062
1	111	100358	229913	7	0.434125
1	111	100358	229913	4	0.217062
1	111	100358	229913	5	0.217062
1	111	100380	229913	2	0.217062
1	111	100381	229913	6	0.217062
1	111	100380	229913	3	0.217062
1	111	100381	229913	7	0.434125
1	111	100381	229913	4	0.434125
1	111	100382	229913	8	0.217062
1	111	100381	229913	5	0.434125
