id	type	origin	destination	ast	demand
1	111	100381	125698	4	1.02737
1	111	100381	125698	6	1.02737
1	111	100381	125698	8	1.02737
1	111	100382	125698	5	1.02737
1	111	100383	125698	2	1.02737
1	111	100383	125698	3	1.02737
1	111	100382	125698	1	1.02737
1	111	100382	125698	2	1.02737
1	111	100383	125698	6	1.02737
1	111	100382	125698	3	1.02737
1	111	100359	125698	8	1.02737
1	111	100356	125698	7	1.02737
1	111	100356	125698	3	1.02737
1	111	100358	125698	6	1.02737
1	111	100373	125669	4	1.87667
1	111	100358	125698	1	1.02737
1	111	100372	125669	5	1.87667
1	111	100379	125669	6	1.87667
1	111	100361	125698	1	1.02737
1	111	100378	125669	7	1.87667
1	111	100360	125698	2	1.02737
1	111	100361	125698	8	1.02737
1	111	100362	125698	5	1.02737
1	111	100362	125698	2	1.02737
1	111	100382	125669	2	1.87667
1	111	100382	125669	6	1.87667
1	111	100382	125669	7	1.87667
1	111	100382	125669	4	1.87667
1	111	100381	125669	6	1.87667
1	111	100381	125669	7	1.87667
1	111	100381	125669	4	1.87667
1	111	100380	125669	1	1.87667
1	111	100381	125669	5	1.87667
1	111	100381	125669	2	1.87667
1	111	100380	125669	7	1.87667
1	111	100381	125669	3	1.87667
1	111	100380	125669	4	1.87667
1	111	100381	125669	1	1.87667
1	111	100403	125698	5	1.02737
1	111	100404	125698	4	1.02737
1	111	100405	125698	0	1.02737
1	111	100405	125698	4	1.02737
1	111	100407	125698	1	2.05473
1	111	100407	125698	3	1.02737
1	111	100407	125698	5	1.02737
1	111	100406	125698	3	1.02737
1	111	100407	125698	7	1.02737
1	111	100403	125669	5	1.87667
1	111	100384	125698	1	1.02737
1	111	100403	125669	1	1.87667
1	111	100386	125698	2	1.02737
1	111	100407	125669	6	1.87667
1	111	100406	125669	3	1.87667
1	111	100406	125669	6	1.87667
1	111	100407	125669	2	1.87667
1	111	100406	125669	5	1.87667
1	111	100404	125669	3	1.87667
1	111	100405	125669	7	1.87667
1	111	100405	125669	4	1.87667
1	111	100405	125669	5	1.87667
1	111	100404	125669	7	1.87667
1	111	100405	125669	1	1.87667
1	111	100849	129913	4	0.217062
1	111	100849	129913	2	0.217062
1	111	100849	129913	8	0.217062
1	111	100360	129913	2	0.217062
1	111	100361	129913	6	0.434125
1	111	100360	129913	3	0.217062
1	111	100361	129913	7	0.651187
1	111	100361	129913	4	0.434125
1	111	100362	129913	8	0.434125
1	111	100360	129913	1	0.434125
1	111	100361	129913	5	0.434125
1	111	100360	129913	6	0.217062
1	111	100361	129913	2	0.217062
1	111	100360	129913	7	0.217062
1	111	100361	129913	3	0.86825
1	111	100360	129913	4	0.434125
1	111	100361	129913	0	0.217062
1	111	100360	129913	5	0.434125
1	111	100361	129913	1	0.434125
1	111	100362	129913	2	0.86825
1	111	100362	129913	3	0.86825
1	111	100360	129913	8	0.217062
1	111	100362	129913	0	0.217062
1	111	100363	129913	4	0.217062
1	111	100362	129913	1	0.651187
1	111	100362	129913	6	1.08531
1	111	100362	129913	7	0.651187
1	111	100361	129913	8	0.434125
1	111	100362	129913	4	1.08531
1	111	100362	129913	5	0.86825
1	111	100356	129913	2	0.217062
1	111	100356	129913	3	0.217062
1	111	100358	129913	8	0.217062
1	111	100356	129913	1	0.217062
1	111	100356	129913	6	0.217062
1	111	100356	129913	7	0.217062
1	111	100356	129913	4	0.434125
1	111	100358	129913	2	0.217062
1	111	100359	129913	7	0.217062
1	111	100356	129913	8	0.217062
1	111	100358	129913	1	0.217062
1	111	100359	129913	5	0.217062
1	111	100358	129913	6	0.217062
1	111	100358	129913	7	0.434125
1	111	100358	129913	4	0.217062
1	111	100358	129913	5	0.217062
1	111	100380	129913	2	0.217062
1	111	100381	129913	6	0.217062
1	111	100380	129913	3	0.217062
1	111	100381	129913	7	0.434125
1	111	100381	129913	4	0.434125
1	111	100382	129913	8	0.217062
1	111	100381	129913	5	0.434125
1	111	100380	129913	6	0.217062
1	111	100381	129913	2	0.217062
1	111	100381	129913	3	0.434125
1	111	100380	129913	4	0.217062
1	111	100383	129913	8	0.217062
1	111	100380	129913	5	0.217062
1	111	100381	129913	1	0.434125
1	111	100382	129913	2	0.217062
1	111	100383	129913	6	0.434125
1	111	100382	129913	3	0.217062
1	111	100380	129913	8	0.217062
1	111	100383	129913	4	0.651187
1	111	100382	129913	1	0.217062
1	111	100383	129913	5	0.217062
1	111	100382	129913	6	0.434125
1	111	100383	129913	2	0.434125
1	111	100382	129913	7	0.217062
1	111	100383	129913	3	0.217062
1	111	100381	129913	8	0.434125
1	111	100382	129913	4	0.434125
1	111	100382	129913	5	0.217062
1	111	100383	129913	1	0.434125
1	111	100377	129913	6	0.217062
1	111	100376	129913	3	0.217062
1	111	100377	129913	7	0.217062
1	111	100377	129913	5	0.217062
1	111	100376	129913	7	0.217062
1	111	100377	129913	3	0.217062
1	111	100379	129913	8	0.217062
1	111	100376	129913	5	0.217062
1	111	100378	129913	2	0.434125
1	111	100379	129913	6	0.434125
1	111	100378	129913	3	0.217062
1	111	100379	129913	7	0.217062
1	111	100379	129913	4	0.434125
1	111	100379	129913	5	0.217062
1	111	100378	129913	6	0.217062
1	111	100379	129913	2	0.217062
1	111	100379	129913	3	0.434125
1	111	100377	129913	8	0.217062
1	111	100378	129913	4	0.217062
1	111	100378	129913	5	0.217062
1	111	100379	129913	1	0.434125
1	111	100373	129913	6	0.217062
1	111	100374	129913	1	0.217062
1	111	100384	129913	2	0.217062
1	111	100385	129913	7	0.217062
1	111	100386	129913	8	0.217062
1	111	100384	129913	1	0.217062
1	111	100384	129913	6	0.217062
1	111	100384	129913	5	0.217062
1	111	100384	129913	8	0.217062
1	111	100386	129913	6	0.217062
1	111	100386	129913	4	0.217062
1	111	100849	125669	6	1.87667
1	111	100849	125669	2	1.87667
1	111	100405	129913	6	0.434125
1	111	100404	129913	3	0.217062
1	111	100405	129913	7	0.217062
1	111	100405	129913	4	0.217062
1	111	100406	129913	8	0.217062
